k,mean_silhouette,std_silhouette,mean_davies_bouldin,std_davies_bouldin,mean_calinski_harabasz,std_calinski_harabasz,mean_ari,std_ari
2,0.8573503531960802,0.005737100077589477,0.35045297484659294,0.013732005335534054,1195.306838606481,76.08413668632359,0.9770383228995769,0.03345313520622483
3,0.8282481841767622,0.020448378966360623,0.5419471284547365,0.08791099984147507,1128.6449236621813,111.82392430165095,0.9071947350371697,0.06582498894843163
4,0.8100325641533308,0.012135948111571806,0.5273476618227487,0.038916957109033264,1397.6729437136191,153.5651225138978,0.9473949513098946,0.04802065666225414
5,0.7840930649418649,0.01395951810847734,0.6259068627824947,0.058040320716599085,1410.1788988801604,166.67528811483922,0.9241575331780869,0.05248823739234192
6,0.7731364157794236,0.01666139378101256,0.6439656905850913,0.08698131027757612,1428.0427945317674,167.9654173698396,0.9335201314715114,0.05327652172798255
