Timestamp,12-01 String current,12-02 String current,12-03 String current,12-04 String current,12-05 String current,12-06 String current,12-07 String current,12-08 String current,12-09 String current,12-10 String current
2023-07-16 06:30:00,1.0655111074447632,1.970188856124878,2.080522060394287,0.7599999904632568,1.7503777742385864,0.836222231388092,0.9969333410263062,0.8488888740539551,0.941777765750885,1.4316555261611938
2023-07-16 06:45:00,3.218522071838379,3.059799909591675,3.3045554161071777,2.3584110736846924,2.6222000122070312,1.01093327999115,2.7326889038085938,0.989111065864563,1.1271110773086548,2.6399664878845215
2023-07-16 07:00:00,5.026388645172119,4.509711265563965,4.9631667137146,3.6958887577056885,4.048099994659424,1.1799999475479126,4.2387776374816895,1.1964443922042847,2.4274888038635254,4.142621994018555
2023-07-16 07:15:00,6.448999881744385,6.079432964324951,6.4227776527404785,5.1372222900390625,5.619888782501221,1.2586666345596313,5.7231221199035645,4.333600044250488,4.553511142730713,5.757088661193848
2023-07-16 07:30:00,7.7312331199646,7.5263776779174805,7.656688690185547,6.825344085693359,7.333555221557617,1.557255506515503,7.336633205413818,7.199988842010498,6.352133274078369,7.471210956573486
2023-07-16 07:45:00,8.795055389404297,8.54937744140625,8.686666488647461,8.149311065673828,8.53636646270752,8.498444557189941,8.607666969299316,8.374622344970703,7.950166702270508,8.700977325439453
2023-07-16 08:00:00,10.326555252075195,9.847688674926758,10.056243896484375,9.702188491821289,10.002711296081543,10.304410934448242,10.003788948059082,10.18055534362793,9.88736629486084,10.260433197021484
2023-07-16 08:15:00,11.611444473266602,10.682332992553711,11.15844440460205,10.795244216918945,11.364799499511719,11.508443832397461,11.215421676635742,11.569555282592773,11.28066635131836,11.454044342041016
2023-07-16 08:30:00,12.559944152832031,11.490777969360352,12.024688720703125,11.665555000305176,12.119699478149414,12.440321922302246,12.144755363464355,12.355422019958496,11.85224437713623,12.232854843139648
2023-07-16 08:45:00,13.30604362487793,11.964554786682129,12.878132820129395,12.481210708618164,12.835043907165527,13.087210655212402,12.906166076660156,12.996010780334473,12.57314395904541,12.895111083984375
2023-07-16 09:00:00,13.953999519348145,11.770666122436523,13.664466857910156,13.352888107299805,13.444499969482422,13.880099296569824,13.661466598510742,13.750743865966797,13.365111351013184,13.636566162109375
